City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,port saint john's,-31.6229,29.5448,18.3,54,30,7.78,ZA,1686866605
144,iznik,40.4286,29.7211,18.86,84,66,1.7,TR,1686866605
145,gashua,12.871,11.0482,31.07,44,100,4.04,NG,1686866606
146,isafjordur,66.0755,-23.124,13.05,82,100,1.03,IS,1686866606
147,susanville,40.4163,-120.653,24.89,25,0,2.06,US,1686866606
148,impfondo,1.6381,18.0667,22.12,97,48,0.49,CG,1686866606
149,al bawiti,28.3492,28.8659,27.01,31,0,2.05,EG,1686866606
150,blackmans bay,-43.0167,147.3167,8.07,78,67,3.79,AU,1686866606
151,fortaleza,-3.7227,-38.5247,27.07,78,75,3.6,BR,1686866439
152,anadyr,64.75,177.4833,4.28,69,75,2.0,RU,1686866415
153,miles city,46.4083,-105.8406,21.54,32,75,5.14,US,1686866606
154,ta`u,-14.2336,-169.5144,27.01,82,95,7.94,AS,1686866607
155,manismata,-2.4667,111.0333,23.04,98,100,1.18,ID,1686866607
156,great yarmouth,52.6083,1.7305,15.23,82,11,3.88,GB,1686866561
157,cadale,2.7603,46.3222,25.65,85,52,8.16,SO,1686866607
158,kapuskasing,49.4169,-82.4331,20.15,53,47,4.99,CA,1686866607
159,celestun,20.8667,-90.4,31.76,67,13,6.45,MX,1686866607
160,umatilla,45.5001,-118.5014,19.92,34,40,3.65,US,1686866607
161,huarmey,-10.0681,-78.1522,21.26,80,43,5.27,PE,1686866457
162,solok,-0.7918,100.6593,20.26,92,100,0.9,ID,1686866608
163,cururupu,-1.8283,-44.8683,24.17,92,5,1.51,BR,1686866608
164,conceicao da barra,-18.5933,-39.7322,22.34,92,2,2.12,BR,1686866608
165,zhezqazghan,47.7833,67.7667,20.37,29,48,4.65,KZ,1686866507
166,lethem,3.3803,-59.7968,26.64,79,40,2.09,GY,1686866608
167,portland,45.5234,-122.6762,25.88,48,0,4.63,US,1686866531
168,iskateley,67.6803,53.1512,2.53,79,87,10.34,RU,1686866608
169,zhanjiang,21.2815,110.3427,26.18,91,99,2.6,CN,1686866608
170,mount gambier,-37.8333,140.7667,10.19,70,0,5.95,AU,1686866608
171,berdigestyakh,62.0989,126.6992,9.37,94,100,3.68,RU,1686866609
172,udachny,66.4167,112.4,9.5,70,59,9.72,RU,1686866418
173,waingapu,-9.6567,120.2641,22.57,85,30,3.8,ID,1686866609
174,kailua-kona,19.6406,-155.9956,26.98,90,75,5.14,US,1686866609
175,ixtapa,20.7,-105.2,30.68,70,40,6.69,MX,1686866609
176,masvingo,-20.0637,30.8277,13.6,18,19,1.31,ZW,1686866609
177,magadan,59.5667,150.8,9.74,93,100,2.35,RU,1686866349
178,togitsu,32.8333,129.85,22.77,78,57,0.57,JP,1686866610
179,muriti,-1.9833,32.9167,23.2,69,48,2.12,TZ,1686866610
180,petra,30.3222,35.4793,17.77,52,0,1.62,JO,1686866445
181,san patricio,28.017,-97.5169,35.05,54,2,8.68,US,1686866610
182,kapa'a,22.0752,-159.319,26.99,82,75,8.23,US,1686866610
183,nemuro,43.3236,145.575,14.0,95,98,3.38,JP,1686866610
184,oxford,51.7522,-1.256,20.66,61,0,4.12,GB,1686866391
185,sinan,34.8262,126.1086,19.27,82,0,1.1,KR,1686866610
186,utrik,11.2278,169.8474,27.52,81,100,9.48,MH,1686866610
187,thompson,55.7435,-97.8558,25.55,22,32,5.77,CA,1686866611
188,saint-joseph,-21.3667,55.6167,24.21,79,71,3.77,RE,1686866611
189,embi,48.8264,58.1442,21.6,29,22,3.42,KZ,1686866611
190,kavaratti,10.5669,72.642,29.42,71,31,6.91,IN,1686866611
191,robbio,45.2906,8.5911,21.03,82,91,1.65,IT,1686866611
192,barah,13.7,30.3667,30.81,45,86,4.49,SD,1686866611
193,haiku-pauwela,20.9219,-156.3051,31.01,43,40,9.26,US,1686866611
194,tofol,5.3248,163.0078,27.76,81,100,7.09,FM,1686866611
195,longyearbyen,78.2186,15.6401,3.91,65,75,4.63,SJ,1686866612
196,keflavik,64.0049,-22.5624,11.24,93,100,6.17,IS,1686866581
197,kone,-21.0595,164.8658,22.65,65,43,2.16,NC,1686866612
198,sitka,57.0531,-135.33,11.94,62,100,7.2,US,1686866612
199,argo,37.6333,22.7333,22.1,71,4,0.84,GR,1686866612
200,sarupathar,26.1984,93.8094,23.0,99,99,0.83,IN,1686866612
201,guangyuan,32.442,105.823,18.68,95,100,0.67,CN,1686866613
202,the pas,53.8251,-101.2541,22.95,53,88,6.0,CA,1686866613
203,oyama,36.3,139.8,22.55,83,36,2.36,JP,1686866613
204,okuta,9.2167,3.1833,22.32,96,72,3.41,NG,1686866613
205,murghob,38.1702,73.9667,7.7,58,7,0.9,TJ,1686866613
206,koungheul,13.9833,-14.8,31.63,57,99,6.19,SN,1686866613
207,crane,31.3974,-102.3501,38.62,7,32,8.21,US,1686866613
208,eyl,7.9803,49.8164,25.68,78,87,9.06,SO,1686866614
209,san clemente del tuyu,-36.3569,-56.7235,8.32,71,50,3.88,AR,1686866614
210,kamianets-podilskyi,48.6667,26.5667,17.88,90,98,1.12,UA,1686866347
211,rawala kot,33.8578,73.7604,16.96,81,99,0.32,PK,1686866614
212,hadibu,12.65,54.0333,27.72,80,100,7.92,YE,1686866614
213,urzhum,57.1141,49.9996,12.4,83,7,1.78,RU,1686866614
214,jamestown,42.097,-79.2353,20.57,61,87,1.34,US,1686866445
215,puerto ayora,-0.7393,-90.3518,28.98,84,39,2.24,EC,1686866615
216,antonio enes,-16.2325,39.9086,20.41,81,19,2.93,MZ,1686866615
217,sai buri,6.7013,101.6168,25.08,88,85,1.85,TH,1686866615
218,kamyshevatskaya,46.4132,37.9563,21.06,79,4,3.79,RU,1686866615
219,mar del plata,-38.0023,-57.5575,11.16,65,0,3.6,AR,1686866396
220,nar'yan-mar,67.6713,53.087,2.55,80,84,10.39,RU,1686866615
221,chibougamau,49.9168,-74.3659,16.87,85,92,2.35,CA,1686866615
222,lovington,32.944,-103.3485,37.47,8,0,1.79,US,1686866616
223,takoradi,4.8845,-1.7554,25.61,78,56,3.6,GH,1686866319
224,syktyvkar,61.6764,50.8099,13.85,58,0,3.0,RU,1686866573
225,kingston,17.997,-76.7936,32.36,63,48,2.24,JM,1686866616
226,mabaruma,8.2,-59.7833,22.95,99,100,2.84,GY,1686866616
227,madang,-5.2246,145.7966,24.93,91,100,1.57,PG,1686866570
228,port douglas,-16.4833,145.4667,22.93,79,79,2.58,AU,1686866616
229,luderitz,-26.6481,15.1594,14.04,88,0,5.02,NA,1686866423
230,jawf al maqbabah,13.8378,45.8349,30.59,39,100,1.29,YE,1686866616
231,manda,-10.4667,34.5833,21.14,60,7,2.83,TZ,1686866617
232,debre werk',10.6667,38.1667,15.7,72,100,0.84,ET,1686866617
233,acarau,-2.8856,-40.12,26.01,81,3,6.46,BR,1686866617
234,berezovyy,51.6667,135.7,15.62,71,3,0.95,RU,1686866617
235,tolanaro,-25.0319,46.9987,19.65,42,0,1.47,MG,1686866617
236,sao jose da coroa grande,-8.8978,-35.1478,25.2,86,1,4.57,BR,1686866617
237,afaahiti,-17.75,-149.2833,28.93,81,86,9.43,PF,1686866618
238,bangolo,7.0069,-7.475,22.38,96,99,1.69,CI,1686866618
239,bandon,51.7469,-8.7425,15.77,94,47,1.67,IE,1686866618
240,mil'kovo,55.6078,37.7956,19.22,67,15,2.24,RU,1686866618
241,hithadhoo,-0.6,73.0833,28.79,73,97,6.11,MV,1686866618
